input_smiles,temperature,generated_smiles,morgan_similarity,maccs_similarity,topo_similarity
c1ccc2cc3ccccc3cc2c1,1.0,c1cccs1,0.125,0.16666666666666666,0.10144927536231885
CCN(CC)CCNC(=O)c1ccccc1,0.2,CCN(CC)CC(=O),0.2222222222222222,0.4444444444444444,0.10256410256410256
CCCOCCC,1.2,CC,0.09090909090909091,0.1111111111111111,0.09090909090909091
COc1ccccc1O[C@H]([C@H]2CCNC2)c3ccccc3,0.2,COO[C@H]([C@H]2CCO2),0.14285714285714285,0.2765957446808511,0.05646359583952452
COc1ccccc1O[C@H]([C@H]2CCNC2)c3ccccc3,0.4,COO[C@H]([C@H]2CC2),0.15555555555555556,0.1951219512195122,0.05529225908372828
COC(=O)c1cc(NC(=O)Cn2c(C)nc3ccccc3c2=O)cc(C(=O)OC)c1,0.8,COC(=O)c1cc(NS(=O)(=O)c2csc(Cc3nc(C)cc(N)n3)c2)c1,0.22784810126582278,0.39325842696629215,0.35205479452054794
COC(=O)c1cc(NC(=O)Cn2c(C)nc3ccccc3c2=O)cc(C(=O)OC)c1,1.0,COC(=O)c1cc(NS(=O)(=O)c2ccc(C#CC)cc2)cc(C)c1,0.2714285714285714,0.3333333333333333,0.3569023569023569
CCCC[C@H]1N[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,0.2,CCCC[C@H]1O[C@H](CO[C@@H]1O)n2cnc3c(c4cccc(I)c4)ncnc23,0.1527777777777778,0.4647887323943662,0.1439873417721519
Nc1cccc(F)c1,1.2,Cc1ccc(F)c2ccccc12,0.2,0.3684210526315789,0.175
CCN(CC)CCCNC(=O)c1ccccc1,0.4,CCN(CC)CC(=O),0.21052631578947367,0.43243243243243246,0.10970464135021098
CCN(CC)CCCNC(=O)c1ccccc1,1.0,CCN(CC)P(=O),0.15789473684210525,0.375,0.056
CN(C)CCc1ccsc1,0.2,CN(C)c1cccc2ccccc12,0.16216216216216217,0.36363636363636365,0.06168831168831169
CN(C)CCc1ccsc1,0.6,CN(C),0.038461538461538464,0.2692307692307692,0.027210884353741496
CN(C)CCc1ccsc1,0.8,CN(C)c1ccccn1,0.16666666666666666,0.37142857142857144,0.06545454545454546
CC(=O)OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Cl)cc3,0.8,CC(=O)Nc1nc(cc(c2ccc(OC)cc2)n1)n1cncn1,0.13095238095238096,0.3380281690140845,0.24702144559173947
