input_smiles,temperature,generated_smiles,morgan_similarity,maccs_similarity,topo_similarity
O=C(O)CCc1cc(=O)c2cc3c(cc2o1)CCCC3,0.6,O=C(O)CCCN1C(=O)c2cncc(n2)c3ccccc3N1,0.161764706,0.419354839,0.274323336
NC(=S)NN=Cc1cccc(O)c1,0.8,NC(=O)OC1=NCC(O)CC1,0.096153846,0.315789474,0.058695652
c1cncc(CCN2CCCC2)c1,0.2,c1cncc(CO)c1,0.454545455,0.303030303,0.297297297
c1cncc(CCN2CCCC2)c1,0.4,c1cncc(OCc2ccccc2)c1,0.35,0.263157895,0.139593909
c1cncc(CCN2CCCC2)c1,0.6,c1cncc(C2CCCCC2)c1,0.333333333,0.413793103,0.333333333
c1cncc(CCN2CCCC2)c1,1,c1cncc(OCCI)c1,0.292682927,0.333333333,0.134502924
c1cncc(CCN2CCCC2)c1,1.2,c1cncc(OCCc2cccs2)c1,0.276595745,0.365853659,0.157657658
N#Cc1cccnc1,0.8,N#Cc1ccco1,0.266666667,0.294117647,0.160714286
CCCCC(NOCc1ccc(Cl)cc1)C(=O)NO,0.2,CCCCC(N1CCCC1)(c1ccc(Cl)cc1)C(=O)c1ccccc1,0.278688525,0.333333333,0.202087287
CCCCC(NOCc1ccc(Cl)cc1)C(=O)NO,0.4,CCCCC(N1CCCC1c2ccc(Cl)cc2)(C)O,0.238095238,0.420289855,0.207741935
CCCCC(NOCc1ccc(Cl)cc1)C(=O)NO,0.6,CCCCC(Sc1ccc(Cl)cc1)C(=O)c1ccccc1,0.357142857,0.271186441,0.196275072
C[C@@H]1CC[C@H](NC(=O)[C@H](CC(C)(C)C)NC(=O)c2occc2)C(=O)CN1S(=O)(=O)c3ccccn3,0.6,C[C@@H]1CC[C@H](NC(=O)[C@H](CC(C)(C)C)NC1=O)C(=O)NO,0.164835165,0.488636364,0.317487267
Fc1cccc(c1)C(Cc2ccccc2Cl)N3CCNCC3,0.2,Fc1cccc(c1)C(c2ccncc2Cl)c2ccccc2,0.333333333,0.4,0.209090909
Fc1cccc(c1)C(Cc2ccccc2Cl)N3CCNCC3,0.8,Fc1cccc(c1)C(Cc2ccccn2)c3ccccc3,0.327272727,0.4,0.272020725
CC1CC(=O)c2ccc(cc2N1S(=O)(=O)c3ccc4ccccc4c3)N5CCN(C)CC5,1,CC1CC(=O)c2ccc(cc2CCOC(=O)c3ccc(cc3)C(F)(F)F)cc1,0.170454545,0.316455696,0.306362379
CC(C)C(=O)N(Cc1cccc(Cl)c1Cl)[C@@H]2CCNC2,1,CC(C)C(=O)N(Cc1ccccc1C(Cc1ccccc1)Oc2cccs2)N,0.22972973,0.454545455,0.280442804
CC(=O)Nc1ccc(OC(C)=O)cc1,0.8,CC(=O)Nc1ccc(C(F)(F)F)s1,0.307692308,0.368421053,0.159309021
Cc1ccc(cc1)S(=O)(=O)OCCOc2ccc3C=CC(=O)Oc3c2,0.6,Cc1ccc(cc1)S(=O)(=O)N2C[C@H](O)C2,0.254545455,0.464788732,0.241169306
Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2)cc(Cl)c1Cl,0.8,Clc1cc(-Cl)c(Cl)c(Oc2ccccc2)c(Cl)c(Cl)c1Cl,0.117647059,0.363636364,0.089673913
CCN(CC)CCCCCCC(=O)Nc1c(C)cccc1C,0.8,CCN(CC)COC(=O)c1cncc(C)n1,0.259259259,0.444444444,0.131455399
COc1ccc(c(C)c1)c2cn(nn2)c3ccc4C(=O)NS(=O)(=O)c4c3,0.6,COc1ccc(c(C)c1)c2cc(cc3C(=O)C=C(Oc23)N4CCOCC4)c4ccccc4,0.275,0.453488372,0.414193548
CCCCON=C(C)c1cccc(Oc2nc(OC)cc(OC)n2)c1C(=O)OC,1,CCCO\C=C(Nc1cccc(OC)c(SCCc2cccc(C)c2)cc1)C(=O)NCC,0.18556701,0.447368421,0.30568012
CCCCCCCCNCCO,0.2,CCCCCCCC,0.421052632,0.322580645,0.233333333
CCCCCCCCNCCO,0.4,CCCCCCCCBr,0.333333333,0.34375,0.205479452
CCCCCCCCNCCO,0.6,CCCCCCCCCCCCCCCC,0.421052632,0.322580645,0.233333333
CCCCCCCCNCCO,1,CCCCCCCCSCC,0.296296296,0.40625,0.14893617
CNC(=O)[C@@H](NC(=O)[C@@H]([C@H](CO)C(=O)NO)c1ccc(OC)cc1)C(C)(C)C,0.4,CNC(=O)[C@@H](NC(=O)[C@@H](N)CC(=O)NCc1ccc(cc1)C#N)C(F)(F)F,0.256756757,0.453125,0.33819242
CNC(=O)[C@@H](NC(=O)[C@@H]([C@H](CO)C(=O)NO)c1ccc(OC)cc1)C(C)(C)C,0.8,CNC(=O)[C@@H](CC(=O)NCCC1C[C@H](CC(C)C)C[C@H](Cc2ccc(F)cc2)C1)C(=O)C,0.166666667,0.441176471,0.305810398
CNC(=O)[C@@H](NC(=O)[C@@H]([C@H](CO)C(=O)NO)c1ccc(OC)cc1)C(C)(C)C,1,CNC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc2ccccc2)NC(C)C)NC(=O)c1ccc(CC)cc1C,0.157894737,0.407894737,0.416271722
CC#CC#Cc1ccc(C#CC(Cl)COC(C)=O)s1,0.4,CC#CC#Cc1cc(Cl)c(C=O)c(C)c1Cl,0.224137931,0.357142857,0.180428135
CC#CC#Cc1ccc(C#CC(Cl)COC(C)=O)s1,0.6,CC#CC#Cc1cc(C)n(C)c1CSc1ccc(C)cc1Cl,0.205882353,0.363636364,0.176954733
CC#CC#Cc1ccc(C#CC(Cl)COC(C)=O)s1,0.8,CC#CC#Cc1ccc(C)cc1C(CNCC)(OC)C(Cl)Cl,0.253731343,0.333333333,0.185410334
CC1(C(=O)Nc2ccc(O)c(Cl)c2Cl)CCCCC1,0.2,CC1(C(=O)O)c2cc(Cl)c(Cl)cc21,0.222222222,0.377777778,0.199762188
CCCCCN,0.6,CCCCC=S,0.3,0.318181818,0.285714286
CCCCCN,1.2,CCCCC=CCCCCBr,0.25,0.375,0.176470588
On1nnc2ccccc21,0.6,O=Cc1ccccc1,0.166666667,0.102564103,0.069204152
On1nnc2ccccc21,0.8,OI,0.043478261,0.12195122,0
On1nnc2ccccc21,1,O,0,0.052631579,0
On1nnc2ccccc21,1.2,OBr,0.043478261,0.12195122,0
O=C(c1ccc2n1CCC2C(=O)O)C1CCC1,1.2,O=C(Cc1ccccc1)Cn2nn(=O)[nH]2,0.140350877,0.322580645,0.137026239
CCCCCCN(CCCCCC)C(=O)COC(=O)c1ccccc1,1,CCCCC1(CCC)C(=O)OCC(=O)c2ccccc21,0.2,0.480769231,0.205882353
CCNc1nc(SC)nc(C(Cl)(Cl)Cl)n1,0.4,CCNc1nc(NCC#CCN)cc(Cl)cn1C,0.172413793,0.448275862,0.129366106
C=CC=CCC1=C(C)C(OC(=O)C2C(C=C(C)C(=O)OC)C2(C)C)CC1=O,0.2,C=CC=CC=C(C)C(NC(=O)C(C)CC(C)C)C(=O)OCC(C)=O,0.175,0.416666667,0.271153846
